[LOG] System::create                           : Header version = 1.10.11. Current version = 1.10.11.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=11011 (100047), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Priority: 2, Stack Size: 65536, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 49152, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 0000000025A431B8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] SoundI::release                          : HS_Forest Ambience-001 (000000027CA989D8)
[LOG] SoundI::release                          :     HS_Attack_Noise-001 (000000027DF065D8)
[LOG] SoundI::release                          :  (000000006E507C88)
[LOG] SoundI::release                          :     HS_Attack_Noise-002 (000000006E4CD4A8)
[LOG] SoundI::release                          :  (000000027DF6F6E8)
[LOG] SoundI::release                          :     HS_Attack_Noise-003 (000000027DF06C58)
[LOG] SoundI::release                          :  (000000006E504A38)
[LOG] SoundI::release                          :     HS_Attack_Noise-004 (000000027DF07138)
[LOG] SoundI::release                          :  (000000027DF6F128)
[LOG] SoundI::release                          :     HS_Grunts_Jump-001 (000000027DF07C98)
[LOG] SoundI::release                          :  (000000027DF6C8E8)
[LOG] SoundI::release                          :     HS_Grunts_Jump-002 (000000027DF046F8)
[LOG] SoundI::release                          :  (000000027CF5AB78)
[LOG] SoundI::release                          :     HS_Grunts_Jump-003 (000000006E48F888)
[LOG] SoundI::release                          :  (000000004D9C37E8)
[LOG] SoundI::release                          :     HS_Grunts_Jump-004 (000000004E929288)
[LOG] SoundI::release                          :  (000000004D9BE768)
[LOG] SoundI::release                          :     HS_Jump_2-001 (000000027D307D98)
[LOG] SoundI::release                          :  (000000027CF57648)
[LOG] SoundI::release                          :     HS_Jump_2-002 (000000006E4910E8)
[LOG] SoundI::release                          :  (000000027DF71F28)
[LOG] SoundI::release                          :     HS_Jump_2-003 (000000027DF04218)
[LOG] SoundI::release                          :  (000000027DF6D188)
[LOG] SoundI::release                          :     HS_Jump_2-004 (000000027DF07618)
[LOG] SoundI::release                          :  (000000027DF6DB98)
[LOG] SoundI::release                          :     HS_HamsterWhisp_Grill-001 (000000027DF06918)
[LOG] SoundI::release                          :  (000000004D9BFFD8)
[LOG] SoundI::release                          :     HS_HamsterWhisp_Grill-002 (000000027C872F98)
[LOG] SoundI::release                          :  (000000027DF72AA8)
[LOG] SoundI::release                          :     HS_HamsterWhisp_Grill-003 (000000006E64B8E8)
[LOG] SoundI::release                          :  (000000004D9BE8D8)
[LOG] SoundI::release                          :     HS_HamsterWhisp_Synth-002 (000000027D307BF8)
[LOG] SoundI::release                          :  (000000006E502C08)
[LOG] SoundI::release                          :     HS_HamsterWhisp_Synth-003 (000000027DF03858)
[LOG] SoundI::release                          :  (000000006E5031C8)
[LOG] SoundI::release                          :     HS_HamsterWhisp_Synth-001 (000000006E4CF528)
[LOG] SoundI::release                          :  (000000027CF5B9D8)
[LOG] SoundI::release                          :     HS_HamsterWhisp_HighWhoosh-001 (000000006E4CDB28)
[LOG] SoundI::release                          :  (000000027DF71238)
[LOG] SoundI::release                          :     HS_HamsterWhisp_HighWhoosh-002 (000000006E646468)
[LOG] SoundI::release                          :  (000000027CF59E88)
[LOG] SoundI::release                          :     HS_HamsterWhisp_HighWhoosh-003 (000000004E92AFC8)
[LOG] SoundI::release                          :  (000000027DF71C48)
[LOG] SoundI::release                          :     HS_HamsterWhisp_HighWhoosh-004 (000000027DF07E38)
[LOG] SoundI::release                          :  (000000004D9C4C08)
[LOG] SoundI::release                          :     HS_Filling Blocks_Suck-002 (000000004E9288C8)
[LOG] SoundI::release                          :  (000000027DF73EC8)
[LOG] SoundI::release                          :     HS_Filling Blocks_Suck-003 (000000006E64C5E8)
[LOG] SoundI::release                          :  (000000027CF5B588)
[LOG] SoundI::release                          :     HS_Filling Blocks_Suck-004 (000000006E4CD988)
[LOG] SoundI::release                          :  (000000006E506E28)
[LOG] SoundI::release                          :     HS_Filling Blocks_Suck-001 (000000006E4CEB68)
[LOG] SoundI::release                          :  (000000004D9BDD58)
[LOG] SoundI::release                          :     HS_Ball Break_Pop-003 (000000027D309E18)
[LOG] SoundI::release                          :  (000000004D9C3958)
[LOG] SoundI::release                          :     HS_SubMenu_Select-001 (000000004E928F48)
[LOG] SoundI::release                          :  (000000027DF6DD08)
[LOG] SoundI::release                          :     HS_SubMenu_Select-002 (000000027DF08998)
[LOG] SoundI::release                          :  (000000004D9BF8A8)
[LOG] SoundI::release                          :     FillingBlocks-001 (000000027D3073D8)
[LOG] SoundI::release                          :  (0000000025C2E318)
[LOG] SoundI::release                          :     FillingBlocks-002 (000000027C871F58)
[LOG] SoundI::release                          :  (000000027DF6E438)
[LOG] SoundI::release                          :     FillingBlocks-003 (000000006E64AA48)
[LOG] SoundI::release                          :  (000000004D9C0878)
[LOG] SoundI::release                          :     FillingBlocks-004 (000000027C8732D8)
[LOG] SoundI::release                          :  (000000004D9BE5F8)
[LOG] SoundI::release                          :     HS_Throw_Synth-001 (000000027D30A2F8)
[LOG] SoundI::release                          :  (000000006E5052D8)
[LOG] SoundI::release                          :     HS_Throw_Synth-002 (000000027DF060F8)
[LOG] SoundI::release                          :  (000000027DF6DFE8)
[LOG] SoundI::release                          :     HS_Throw_Synth-003 (000000006E64BDC8)
[LOG] SoundI::release                          :  (000000006E502088)
[LOG] SoundI::release                          :     HS_Throw_Synth-004 (000000027DF02E98)
[LOG] SoundI::release                          :  (000000027CF59FF8)
[LOG] SoundI::release                          :     HS_Throw_HiNoise-001 (000000006E491288)
[LOG] SoundI::release                          :  (000000027DF74038)
[LOG] SoundI::release                          :     HS_Throw_HiNoise-002 (000000006E648348)
[LOG] SoundI::release                          :  (000000006E6E16C8)
[LOG] SoundI::release                          :     HS_Throw_HiNoise-003 (000000006E64C928)
[LOG] SoundI::release                          :  (000000027CF5CF68)
[LOG] SoundI::release                          :     HS_Throw_HiNoise-004 (000000006E4C8B88)
[LOG] SoundI::release                          :  (0000000025C2E488)
[LOG] SoundI::release                          :     HS_Throw_LowNoise-001 (000000027C872918)
[LOG] SoundI::release                          :  (000000027CF57928)
[LOG] SoundI::release                          :     HS_Throw_LowNoise-003 (000000006E4CD648)
[LOG] SoundI::release                          :  (000000027DF717F8)
[LOG] SoundI::release                          :     HS_Throw_LowNoise-004 (000000006E647CC8)
[LOG] SoundI::release                          :  (000000004D9C23C8)
[LOG] SoundI::release                          :     HS_Grunts_Attack-001 (000000027C872778)
[LOG] SoundI::release                          :  (000000004D9C30B8)
[LOG] SoundI::release                          :     HS_Grunts_Attack-002 (000000004E929DE8)
[LOG] SoundI::release                          :  (000000004D9BD798)
[LOG] SoundI::release                          :     HS_Grunts_Attack-003 (000000027D30A638)
[LOG] SoundI::release                          :  (000000004D9C1568)
[LOG] SoundI::release                          :     HS_Throw_Glass-001 (000000027C8713F8)
[LOG] SoundI::release                          :  (000000006E506B48)
[LOG] SoundI::release                          :     HS_Throw_Glass-002 (000000006E4CCAE8)
[LOG] SoundI::release                          :  (000000027DF6E2C8)
[LOG] SoundI::release                          :     HS_Throw_Glass-003 (000000027DF03038)
[LOG] SoundI::release                          :  (000000004D9C2DD8)
[LOG] SoundI::release                          :     HS_Throw_Glass-004 (000000004E92BE68)
[LOG] SoundI::release                          :  (000000006E5069D8)
[LOG] SoundI::release                          :     Lever_Hit (000000006E4CADA8)
[LOG] SoundI::release                          :  (000000027CF5AE58)
[LOG] SoundI::release                          :     Crowd_Scramble (000000006E491C48)
[LOG] SoundI::release                          :  (000000004D9C1848)
[LOG] SoundI::release                          :     HS_Swing Net_Noise-001 (000000027C873478)
[LOG] SoundI::release                          :  (000000027CF58618)
[LOG] SoundI::release                          :     HS_Swing Net_Noise-002 (000000006E48F068)
[LOG] SoundI::release                          :  (000000027CF56F18)
[LOG] SoundI::release                          :     HS_Swing Net_Noise-003 (000000006E48FBC8)
[LOG] SoundI::release                          :  (000000006E505728)
[LOG] SoundI::release                          :     HS_Swing Net_Noise-004 (000000006E4CC7A8)
[LOG] SoundI::release                          :  (000000027DF6CD38)
[LOG] SoundI::release                          :     HS_Swing Net_Synth-001 (000000027DF04558)
[LOG] SoundI::release                          :  (000000006E5062A8)
[LOG] SoundI::release                          :     HS_Swing Net_Synth-002 (000000006E4C9F08)
[LOG] SoundI::release                          :  (000000027DF741A8)
[LOG] SoundI::release                          :     HS_Swing Net_Synth-003 (000000006E64A3C8)
[LOG] SoundI::release                          :  (000000004D9BFCF8)
[LOG] SoundI::release                          :     HS_Swing Net_Synth-004 (000000004E92A948)
[LOG] SoundI::release                          :  (000000027CF57088)
[LOG] SoundI::release                          :     ThrowLoop-001 (000000006E4903E8)
[LOG] SoundI::release                          :  (000000004D9C20E8)
[LOG] SoundI::release                          :     MultiMatch (000000027D30ACB8)
[LOG] SoundI::release                          :  (000000027DF70548)
[LOG] SoundI::release                          :     HS_Bass_SnowFootsteps-005 (000000006E64A8A8)
[LOG] SoundI::release                          :  (000000006E6E3218)
[LOG] SoundI::release                          :     HS_Bass_SnowFootsteps-006 (000000006E649BA8)
[LOG] SoundI::release                          :  (000000027DF6FE18)
[LOG] SoundI::release                          :     HS_Bass_SnowFootsteps-007 (000000006E648B68)
[LOG] SoundI::release                          :  (000000004D9BD348)
[LOG] SoundI::release                          :     HS_Bass_SnowFootsteps-001 (000000027D30A7D8)
[LOG] SoundI::release                          :  (000000027CF560B8)
[LOG] SoundI::release                          :     HS_Bass_SnowFootsteps-002 (000000004E92AE28)
[LOG] SoundI::release                          :  (0000000025C30B58)
[LOG] SoundI::release                          :     HS_Bass_SnowFootsteps-003 (000000004CF9B908)
[LOG] SoundI::release                          :  (000000027DF73628)
[LOG] SoundI::release                          :     HS_Bass_SnowFootsteps-004 (000000006E649EE8)
[LOG] SoundI::release                          :  (000000004D9C1118)
[LOG] SoundI::release                          :     HS_Snow_SnowFootsteps-004 (000000027D308C38)
[LOG] SoundI::release                          :  (0000000025C2E5F8)
[LOG] SoundI::release                          :     HS_Snow_SnowFootsteps-005 (000000027C870558)
[LOG] SoundI::release                          :  (0000000025C2D908)
[LOG] SoundI::release                          :     HS_Snow_SnowFootsteps-006 (000000004CF9BC48)
[LOG] SoundI::release                          :  (000000006E505898)
[LOG] SoundI::release                          :     HS_Snow_SnowFootsteps-007 (000000006E4CB0E8)
[LOG] SoundI::release                          :  (000000006E5006A8)
[LOG] SoundI::release                          :     Crowd_2 (000000027DF04078)
[LOG] SoundI::release                          :  (000000027DF731D8)
[LOG] SoundI::release                          :     HS_BallDrop_HighSynth (000000006E646E28)
[LOG] SoundI::release                          :  (000000027DF6EFB8)
[LOG] SoundI::release                          :     HS_BallDrop_LowSynth (000000027DF07958)
[LOG] SoundI::release                          :  (000000027CF55988)
[LOG] SoundI::release                          :     HS_Hamster Connect_Coin (000000006E492468)
[LOG] SoundI::release                          :  (000000027CF5A5B8)
[LOG] SoundI::release                          :     HS_Hamster Connect_Crunch (000000006E490C08)
[LOG] SoundI::release                          :  (000000027CF5AFC8)
[LOG] SoundI::release                          :     HS_SubMenu_Toggle-004 (000000006E492128)
[LOG] SoundI::release                          :  (000000004D9C4088)
[LOG] SoundI::release                          :     HS_SubMenu_Toggle-005 (000000004E92B308)
[LOG] SoundI::release                          :  (000000006E501C38)
[LOG] SoundI::release                          :     HS_SubMenu_Toggle-002 (000000006E4CFD48)
[LOG] SoundI::release                          :  (000000027CF59308)
[LOG] SoundI::release                          :     HS_SubMenu_Toggle-003 (000000006E4908C8)
[LOG] SoundI::release                          :  (000000004D9BD628)
[LOG] SoundI::release                          :     HS_321_Number (000000027C870898)
[LOG] SoundI::release                          :  (000000027DF6E9F8)
[LOG] SoundI::release                          :     Large Clap_Hamsters-003 (000000006E648828)
[LOG] SoundI::release                          :  (000000006E502A98)
[LOG] SoundI::release                          :     Large Clap_Hamsters-004 (000000027DF01638)
[LOG] SoundI::release                          :  (000000027CF58EB8)
[LOG] SoundI::release                          :     Door Open-003 (000000006E4CF1E8)
[LOG] SoundI::release                          :  (000000006E500988)
[LOG] SoundI::release                          :     Door Open-004 (000000027DF05598)
[LOG] SoundI::release                          :  (000000006E5003C8)
[LOG] SoundI::release                          :     Door Open-001 (000000027DF01CB8)
[LOG] SoundI::release                          :  (000000004D9C4648)
[LOG] SoundI::release                          :     HS_ThrowLoop (2) (000000004E9295C8)
[LOG] SoundI::release                          :  (000000027DF6D8B8)
[LOG] SoundI::release                          :     HS_Bike Loop_master (000000006E64A568)
[LOG] SoundI::release                          :  (000000027CF5B138)
[LOG] SoundI::release                          :     HS_ThrowLoop (3) (000000006E4CF048)
[LOG] SoundI::release                          :  (000000027CF5A898)
[LOG] SoundI::release                          :     HS_RainbowPlop-002 (000000006E490DA8)
[LOG] SoundI::release                          :  (000000027DF70B08)
[LOG] SoundI::release                          :     HS_RainbowPlop-003 (000000027DF06F98)
[LOG] SoundI::release                          :  (000000027DF6ECD8)
[LOG] SoundI::release                          :     HS_RainbowPlop-004 (000000027DF00FB8)
[LOG] SoundI::release                          :  (000000006E507558)
[LOG] SoundI::release                          :     HS_RainbowPlop-001 (000000006E4C9548)
[LOG] SoundI::release                          :  (000000027CF5A2D8)
[LOG] SoundI::release                          :     Lever_Stop (000000006E492C88)
[LOG] SoundI::release                          :  (000000027DF73348)
[LOG] SoundI::release                          :     Subway 01 (000000006E6484E8)
[LOG] SoundI::release                          :  (000000027CF5B2A8)
[LOG] SoundI::release                          :     HS_SubMenu_Back-003 (000000006E4CB768)
[LOG] SoundI::release                          :  (000000006E5073E8)
[LOG] SoundI::release                          :     HS_SubMenu_Back-004 (000000006E4CC2C8)
[LOG] SoundI::release                          :  (000000004D9BF458)
[LOG] SoundI::release                          :     HS_SubMenu_Back-001 (000000027C8725D8)
[LOG] SoundI::release                          :  (000000004D9C4368)
[LOG] SoundI::release                          :     HS_SubMenu_Back-002 (000000004E92BB28)
[LOG] SoundI::release                          :  (000000006E504028)
[LOG] SoundI::release                          :     Explosion (000000006E4CFBA8)
[LOG] SoundI::release                          :  (000000027DF73BE8)
[LOG] SoundI::release                          :     Spring-001 (000000006E64B268)
[LOG] SoundI::release                          :  (000000004D9C3DA8)
[LOG] SoundI::release                          :     HS_MainMenu_Select_Punch-001 (000000004E9283E8)
[LOG] SoundI::release                          :  (000000027DF72D88)
[LOG] SoundI::release                          :     HS_MainMenu_Select_Wood-001 (000000006E64BF68)
[LOG] SoundI::release                          :  (000000004D9BF008)
[LOG] SoundI::release                          :     HS_MainMenu_Select_Wood-002 (000000027D308418)
[LOG] SoundI::release                          :  (000000027DF6CEA8)
[LOG] SoundI::release                          :     HS_Game Start (000000027DF03378)
[LOG] SoundI::release                          :  (000000027DF724E8)
[LOG] SoundI::release                          :     HS_MainMenu_Select_Synth-001 (000000006E64A088)
[LOG] SoundI::release                          :  (000000006E501AC8)
[LOG] SoundI::release                          :     HS_MainMenu_Select_Synth-002 (000000027DF024D8)
[LOG] SoundI::release                          :  (000000006E5000E8)
[LOG] SoundI::release                          :     Umbrella Footsteps-003 (000000027DF02CF8)
[LOG] SoundI::release                          :  (000000027DF71518)
[LOG] SoundI::release                          :     Umbrella Footsteps-004 (000000006E6489C8)
[LOG] SoundI::release                          :  (000000006E5017E8)
[LOG] SoundI::release                          :     Umbrella Footsteps-005 (000000006E4D0708)
[LOG] SoundI::release                          :  (000000027CF5C3E8)
[LOG] SoundI::release                          :     Umbrella Footsteps-006 (000000006E4CB5C8)
[LOG] SoundI::release                          :  (000000004D9C0148)
[LOG] SoundI::release                          :     Umbrella Footsteps-001 (000000027D309C78)
[LOG] SoundI::release                          :  (0000000025C302B8)
[LOG] SoundI::release                          :     Umbrella Footsteps-002 (000000027C873618)
[LOG] SoundI::release                          :  (000000027CF574D8)
[LOG] SoundI::release                          :     HS_Ball Break_Pop-001 (000000006E4CDE68)
[LOG] SoundI::release                          :  (000000006E504FF8)
[LOG] SoundI::release                          :     Concrete_FS-001 (000000006E4CCC88)
[LOG] SoundI::release                          :  (000000004D9C3F18)
[LOG] SoundI::release                          :     Concrete_FS-002 (000000004E929AA8)
[LOG] SoundI::release                          :  (0000000025C2F458)
[LOG] SoundI::release                          :     Concrete_FS-003 (000000004CF9C2C8)
[LOG] SoundI::release                          :  (000000006E5024D8)
[LOG] SoundI::release                          :     Concrete_FS-004 (000000027DF050B8)
[LOG] SoundI::release                          :  (000000004D9BDEC8)
[LOG] SoundI::release                          :     Concrete_FS-005 (000000027D308758)
[LOG] SoundI::release                          :  (000000004D9C3C38)
[LOG] SoundI::release                          :     Concrete_FS-006 (000000004E92AC88)
[LOG] SoundI::release                          :  (000000027DF6F9C8)
[LOG] SoundI::release                          :     Concrete_FS-007 (000000027DF03D38)
[LOG] SoundI::release                          :  (000000027CF5BF98)
[LOG] SoundI::release                          :     Concrete_FS-008 (000000006E4CC468)
[LOG] SoundI::release                          :  (000000006E500818)
[LOG] SoundI::release                          :     HS_Ball Break_Squeak-003 (000000027DF031D8)
[LOG] SoundI::release                          :  (000000027CF588F8)
[LOG] SoundI::release                          :     HS_Ball Break_Squeak-004 (000000004E929908)
[LOG] SoundI::release                          :  (000000027CF5A728)
[LOG] SoundI::release                          :     HS_Ball Break_Squeak-005 (000000006E491428)
[LOG] SoundI::release                          :  (000000027CF598C8)
[LOG] SoundI::release                          :     HS_Ball Break_Squeak-001 (000000006E48FF08)
[LOG] SoundI::release                          :  (000000004D9C4A98)
[LOG] SoundI::release                          :     HS_Ball Break_Squeak-002 (000000004E92A468)
[LOG] SoundI::release                          :  (000000027CF5CB18)
[LOG] SoundI::release                          :     HS_HamsterWhisp_Init_Whoosh (000000006E4CAC08)
[LOG] SoundI::release                          :  (000000027CF55F48)
[LOG] SoundI::release                          :     HS_Filling Blocks_HiNoise (000000006E4CA0A8)
[LOG] SoundI::release                          :  (000000006E504198)
[LOG] SoundI::release                          :     LeverMove (000000006E4D0088)
[LOG] SoundI::release                          :  (000000006E501678)
[LOG] SoundI::release                          :     Shift_Synth (000000027DF02818)
[LOG] SoundI::release                          :  (000000027DF73908)
[LOG] SoundI::release                          :     Shift_Noise Low (000000006E6481A8)
[LOG] SoundI::release                          :  (000000027CF556A8)
[LOG] SoundI::release                          :     Shift_Noise High (000000006E4927A8)
[LOG] SoundI::release                          :  (000000027DF6FCA8)
[LOG] SoundI::release                          :     Shift_Noise Hit (000000006E64A708)
[LOG] SoundI::release                          :  (000000027CF56678)
[LOG] SoundI::release                          :     Small Clap (000000006E4CA8C8)
[LOG] SoundI::release                          :  (000000006E507108)
[LOG] SoundI::release                          :     HS_Hamster Collected_LowNoise-003 (000000006E4CBC48)
[LOG] SoundI::release                          :  (000000004D9C09E8)
[LOG] SoundI::release                          :     HS_Hamster Collected_HiNoise-001 (000000027D3095F8)
[LOG] SoundI::release                          :  (000000004D9BED28)
[LOG] SoundI::release                          :     HS_Hamster Collected_HiNoise-002 (000000027D308278)
[LOG] SoundI::release                          :  (000000006E6E02A8)
[LOG] SoundI::release                          :     HS_Hamster Collected_HiNoise-004 (000000006E64C2A8)
[LOG] SoundI::release                          :  (000000027CF55DD8)
[LOG] SoundI::release                          :     HS_Hamster Collected_Synth-001 (000000006E48F548)
[LOG] SoundI::release                          :  (000000027DF72378)
[LOG] SoundI::release                          :     HS_Hamster Collected_Synth-002 (000000006E646948)
[LOG] SoundI::release                          :  (000000027CF57D78)
[LOG] SoundI::release                          :     HS_Hamster Collected_Synth-003 (000000006E4CA248)
[LOG] SoundI::release                          :  (000000006E5055B8)
[LOG] SoundI::release                          :     HS_Hamster Collected_Synth-004 (000000027DF05738)
[LOG] SoundI::release                          :  (000000006E502D78)
[LOG] SoundI::release                          :     Medium Clap_Hamsters-008 (000000027DF06438)
[LOG] SoundI::release                          :  (000000027CF55AF8)
[LOG] SoundI::release                          :     Medium Clap_Hamsters-007 (000000006E4CED08)
[LOG] SoundI::release                          :  (000000006E6E2248)
[LOG] SoundI::release                          :     CounterMatch-001 (000000006E64C788)
[LOG] SoundI::release                          :  (000000027DF71688)
[LOG] SoundI::release                          :     Shift Meter-003 (000000027DF03518)
[LOG] SoundI::release                          :  (000000004D9C1C98)
[LOG] SoundI::release                          :     HS_New Line_Low Noise (000000027C8710B8)
[LOG] SoundI::release                          :  (000000006E506CB8)
[LOG] SoundI::release                          :     HS_New Line_Noise (000000006E4CDCC8)
[LOG] SoundI::release                          :  (0000000025C30148)
[LOG] SoundI::release                          :     HS_New Line_GroundBoost (000000004CF9C128)
[LOG] SoundI::release                          :  (000000027CF56C38)
[LOG] SoundI::release                          :     HS_New Line_Synth (000000006E490A68)
[LOG] SoundI::release                          :  (000000027DF6E888)
[LOG] SoundI::release                          :     HS_New Line_Ground (000000006E64A228)
[LOG] SoundI::release                          :  (000000004D9BFE68)
[LOG] SoundI::release                          :     HS_IceFootstepsLand_Crack-002 (000000004E9280A8)
[LOG] SoundI::release                          :  (000000027CF58338)
[LOG] SoundI::release                          :     HS_IceFootstepsLand_Crack-003 (000000006E48F6E8)
[LOG] SoundI::release                          :  (000000004D9C2538)
